t_ms,ax,ay,az,gx,gy,gz,mx,my,mz
825485,0.14968872,-0.403560832,10.156081,0.8544921,-12.512206,3.35693332,-28.650474,11.754041,17.417292
825529,-1.3304334,-0.6610254,11.375146,-0.061035152,-2.6245114,11.657714,-29.752414,9.5501584,24.611392
825540,-0.06825806,-0.31135256,9.135802,0.18310546,3.5400388,-6.774902,-29.752896,9.182993,24.992894
825581,-0.39637576,0.22632936,10.570419,0.793457,0.61035156,1.4038085,-27.18122,10.284785,22.718208
825622,0.49696656,-1.2837305,9.456735,1.2817382,-4.0893556,-6.6528316,-29.385576,8.448353,26.128934
825665,1.1903248,-0.77359132,9.395662,-1.89208976,-3.4790036,-8.178711,-28.283618,9.182993,24.992894
825677,-1.0298585,-0.21195924,10.043515,-1.159668,-1.5258788,-7.995605,-29.018258,11.38691,29.537056
825718,0.85741704,-0.6562354,9.551338,2.2583008,-3.5400388,-14.282226,-29.751942,10.65193,23.47279
825759,-0.12334351,-0.397573236,12.131972,0.61035156,-4.760742,-4.1503908,-27.548532,11.754041,27.261848
825802,1.9255958,-0.5233118,13.02292,0.7324218,-6.04248,-3.234863,-27.181658,10.284952,24.614214
825814,-0.10657837,0.37362308,8.649613,-1.5258788,-4.5166016,-2.9296872,-27.18122,11.754041,28.776396
825855,-1.2478052,-0.10298584,8.270002,-0.18310546,-3.234863,0.61035156,-28.650474,10.284785,24.990028
825896,2.2465284,-0.20477418,9.783655,-0.30517578,-1.0375976,1.0375976,-28.2827116,9.550006,22.33701
825907,3.3877552,-0.5340894,11.226655,0.061035152,-6.347656,7.141113,-27.548096,11.753854,26.501538
825949,1.0981165,-0.42272096,9.1202344,1.7089842,-0.3662109,-1.89208976,-29.016858,11.01906,27.2556
825991,0.336500268,-0.38320316,9.930949,0.18310546,5.310058,0.67138664,-28.283162,11.386727,24.990028
826032,0.3796106,-0.36164796,9.899814,0.30517578,3.78417952,0.30517578,-26.0792768,13.59061,23.4754816
826044,0.33410524,-0.39517824,9.871074,0.18310546,2.380371,0.42724606,-27.18122,12.121354,22.3395716
