event_type,scan_code,name,time
down,38,l,1770221254.5200782
up,38,l,1770221254.6060956
down,30,a,1770221254.6469235
up,30,a,1770221254.7804813
down,20,t,1770221254.897259
up,20,t,1770221254.9494846
down,18,e,1770221255.0171006
up,18,e,1770221255.097489
down,57,space,1770221255.2580826
up,57,space,1770221255.347718
down,31,s,1770221255.4983113
up,31,s,1770221255.5668218
down,20,t,1770221255.7590823
up,20,t,1770221255.865419
down,23,i,1770221255.8904848
up,23,i,1770221255.9754376
down,38,l,1770221256.136097
up,38,l,1770221256.1914682
down,38,l,1770221256.2796662
up,38,l,1770221256.331713
down,57,space,1770221256.5000134
up,57,space,1770221256.5785794
down,30,a,1770221257.7620404
up,30,a,1770221257.8508046
down,38,l,1770221257.8864439
up,38,l,1770221257.963788
down,31,s,1770221258.0362284
up,31,s,1770221258.117408
down,24,o,1770221258.143319
up,24,o,1770221258.223024
down,57,space,1770221258.3581717
up,57,space,1770221258.420741
down,50,m,1770221258.5395827
up,50,m,1770221258.6107254
down,30,a,1770221258.6336029
up,30,a,1770221258.7491722
down,21,y,1770221258.7839043
up,21,y,1770221258.8545966
down,57,space,1770221258.986684
up,57,space,1770221259.0660176
down,50,m,1770221259.1689286
up,50,m,1770221259.2529943
down,18,e,1770221259.2543216
up,18,e,1770221259.332755
down,30,a,1770221259.514111
up,30,a,1770221259.5954216
down,49,n,1770221259.6152399
up,49,n,1770221259.667595
down,57,space,1770221259.8579721
up,57,space,1770221259.9288523
down,38,l,1770221260.0213165
down,18,e,1770221260.0840082
up,38,l,1770221260.1007488
up,18,e,1770221260.1611037
down,30,a,1770221260.2778683
up,30,a,1770221260.3704717
down,47,v,1770221260.3913863
up,47,v,1770221260.4650023
down,18,e,1770221260.5063713
up,18,e,1770221260.6061897
down,57,space,1770221260.677891
up,57,space,1770221260.740223
down,33,f,1770221260.8293762
down,24,o,1770221260.9397516
up,33,f,1770221260.9451053
up,24,o,1770221260.9871755
down,38,l,1770221261.1353357
up,38,l,1770221261.1874726
down,38,l,1770221261.2593684
up,38,l,1770221261.3089287
down,24,o,1770221261.4390552
up,24,o,1770221261.5009127
down,17,w,1770221261.5925322
up,17,w,1770221261.688665
down,57,space,1770221261.8083298
up,57,space,1770221261.9049237
down,48,b,1770221262.033442
up,48,b,1770221262.1431422
down,18,e,1770221262.1446958
up,18,e,1770221262.229991
down,57,space,1770221262.2940288
up,57,space,1770221262.3495324
down,50,m,1770221262.452069
up,50,m,1770221262.51823
down,30,a,1770221262.5435195
up,30,a,1770221262.6390295
down,21,y,1770221262.6844943
up,21,y,1770221262.7760305
down,57,space,1770221262.8873315
up,57,space,1770221262.9643598
down,24,o,1770221263.1097746
up,24,o,1770221263.1707838
down,14,backspace,1770221263.5636194
up,14,backspace,1770221263.640251
down,23,i,1770221263.7873046
up,23,i,1770221263.8664465
down,49,n,1770221263.9056854
up,49,n,1770221263.9847486
down,46,c,1770221264.0133924
up,46,c,1770221264.1467636
down,33,f,1770221264.27904
up,33,f,1770221264.397991
down,18,e,1770221264.9619825
up,18,e,1770221265.0584261
down,30,a,1770221265.183323
down,31,s,1770221265.3726108
up,30,a,1770221265.3726108
up,31,s,1770221265.471024
down,18,e,1770221265.5421212
up,18,e,1770221265.6889791
down,57,space,1770221265.8149464
up,57,space,1770221265.9024572
down,38,l,1770221266.0299838
up,38,l,1770221266.0898323
down,23,i,1770221266.2085402
up,23,i,1770221266.2592416
down,33,f,1770221266.2960064
up,33,f,1770221266.4166517
down,18,e,1770221266.4214058
down,57,space,1770221266.5621877
up,18,e,1770221266.5621877
up,57,space,1770221266.642155
down,20,t,1770221266.8133073
down,24,o,1770221266.8966224
up,20,t,1770221266.9186106
up,24,o,1770221266.963379
down,24,o,1770221267.048609
up,24,o,1770221267.1135805
down,57,space,1770221267.2340662
up,57,space,1770221267.312473
down,33,f,1770221267.3611321
down,23,i,1770221267.4642985
up,33,f,1770221267.4642985
up,23,i,1770221267.5278845
down,49,n,1770221267.5552516
up,49,n,1770221267.6371512
down,32,d,1770221267.6790056
up,32,d,1770221267.7398489
down,57,space,1770221267.8140166
up,57,space,1770221267.8919508
down,46,c,1770221268.0524406
down,24,o,1770221268.1638288
up,46,c,1770221268.1648486
up,24,o,1770221268.2259557
down,22,u,1770221268.339222
up,22,u,1770221268.438933
down,19,r,1770221268.438933
up,19,r,1770221268.5320086
down,31,s,1770221268.7162669
up,31,s,1770221268.8191752
down,18,e,1770221268.9222186
up,18,e,1770221269.0017245
down,57,space,1770221269.0198333
up,57,space,1770221269.1233108
down,30,a,1770221269.2068365
down,49,n,1770221269.294026
up,30,a,1770221269.294026
up,49,n,1770221269.3557312
down,32,d,1770221269.4019072
up,32,d,1770221269.4928598
down,57,space,1770221269.5374043
up,57,space,1770221269.6087818
down,37,k,1770221269.7048988
up,37,k,1770221269.7804217
down,18,e,1770221269.8379261
up,18,e,1770221269.8824637
down,18,e,1770221269.9793122
up,18,e,1770221270.0393655
down,25,p,1770221270.0754614
up,25,p,1770221270.148278
down,57,space,1770221270.2839987
up,57,space,1770221270.364337
down,30,a,1770221270.4003625
up,30,a,1770221270.5007792
down,33,f,1770221271.473271
up,33,f,1770221271.5356836
down,20,t,1770221271.6758876
up,20,t,1770221271.7352629
down,18,e,1770221271.8893235
up,18,e,1770221271.941246
down,19,r,1770221272.0197902
up,19,r,1770221272.0815873
down,57,space,1770221272.1701865
up,57,space,1770221272.2553086
down,31,s,1770221272.3523276
up,31,s,1770221272.4195607
down,30,a,1770221272.5375013
up,30,a,1770221272.650753
down,50,m,1770221272.7615309
up,50,m,1770221272.8715913
down,18,e,1770221272.8715913
up,18,e,1770221272.9632895
down,57,space,1770221273.0612793
up,57,space,1770221273.146567
down,15,tab,1770221279.3051822
down,28,enter,1770221279.4328272
up,28,enter,1770221279.5121527
up,15,tab,1770221279.5787444
down,20,t,1770221280.61085
down,35,h,1770221280.7258694
up,20,t,1770221280.7258694
up,35,h,1770221280.8201635
down,23,i,1770221280.9262323
up,23,i,1770221281.0462341
down,49,n,1770221281.0961788
up,49,n,1770221281.1953216
down,34,g,1770221281.1966321
up,34,g,1770221281.2557921
down,14,backspace,1770221281.5278995
up,14,backspace,1770221281.5968652
down,37,k,1770221281.7223048
up,37,k,1770221281.8103619
down,57,space,1770221281.9500556
up,57,space,1770221282.0310972
down,17,w,1770221282.1165051
up,17,w,1770221282.232573
down,30,a,1770221282.3523395
